timestamp,make,model,variant,cap_price,min_year,max_year,engine_size,avg_mileage,input_mileage,fuel_type,doors,transmission,mean_price,lower_std_price,upper_std_price,lower_profit_percent,mean_profit_percent,upper_profit_percent,sample_size
2025-09-28,FORD,FIESTA,,4643.24,2016,2016,1.6,59230.0,74156,Petrol,3,Manual,8311.55,6764.01,10213.15,45.67,79.0,119.96,42
2025-09-28,PEUGEOT,2008,Active,3701.48,2018,2018,1.2,61988.0,70922,Petrol,5,Manual,5950.61,5154.57,6869.6,39.26,60.76,85.59,9
2025-09-28,PEUGEOT,2008,Allure,3368.64,2017,2017,1.2,75977.0,89926,Petrol,5,Manual,5132.44,4237.32,6216.65,25.79,52.36,84.54,21
2025-09-28,FORD,FIESTA,,779.01,2006,2006,1.2,64074.0,70019,Petrol,3,Manual,1616.87,1244.23,2101.12,59.72,107.55,169.72,12
2025-09-28,PEUGEOT,208,GT Line,6096.0,2019,2019,1.2,41309.0,40872,Petrol,5,Manual,7563.76,5677.53,10076.64,-6.86,24.08,65.3,8
2025-09-28,PEUGEOT,208,Tech Edition,3593.64,2018,2018,1.2,58958.0,84658,Petrol,5,Manual,6118.2,5160.85,7253.15,43.61,70.25,101.83,6
2025-09-28,PEUGEOT,308,Allure,4468.24,2018,2018,1.2,57837.0,63507,Petrol,5,Manual,6927.83,6012.04,7983.12,34.55,55.05,78.66,18
2025-09-28,SEAT,IBIZA,Connect,3593.64,2015,2015,1.2,73424.0,87909,Petrol,3,Manual,4840.44,3863.7,6064.11,7.51,34.69,68.75,20
2025-09-28,TOYOTA,YARIS,,1223.21,2005,2005,1.3,84535.0,40711,Petrol,3,Manual,1849.97,1192.28,2870.46,-2.53,51.24,134.67,24
2025-09-28,FORD,FIESTA,Zetec,3064.0699999999997,2016,2016,1.0,66725.0,67619,Petrol,3,Manual,4528.79,3567.46,5749.17,16.43,47.8,87.63,28
2025-09-28,FORD,FIESTA,Zetec,3064.0699999999997,2016,2016,1.0,87107.0,67619,Petrol,3,Manual,2940.51,2739.62,3156.13,-10.59,-4.03,3.0,3
2025-09-28,CITROEN,C3,,2759.14,2016,2016,1.2,89919.0,63544,Petrol,5,Manual,2132.63,1899.0,2395.0,-31.17,-22.71,-13.2,2
2025-09-28,FORD,FOCUS,Titanium,3218.36,2015,2015,1.0,69624.0,80847,Petrol,5,Manual,4944.41,3969.59,6158.63,23.34,53.63,91.36,64
2025-09-29,FORD,FOCUS,Titanium,3218.36,2015,2015,1.0,69624.0,80847,Petrol,5,Manual,4944.41,3969.59,6158.63,23.34,53.63,91.36,64
2025-09-29,FORD,FIESTA,,779.01,2006,2006,1.2,64074.0,70019,Petrol,3,Manual,1616.87,1244.23,2101.12,59.72,107.55,169.72,12
2025-09-29,FORD,FIESTA,,4643.24,2016,2016,1.6,59230.0,74156,Petrol,3,Manual,8311.55,6764.01,10213.15,45.67,79.0,119.96,42
2025-09-29,PEUGEOT,2008,Active,3701.48,2018,2018,1.2,61988.0,70922,Petrol,5,Manual,5950.61,5154.57,6869.6,39.26,60.76,85.59,9
2025-09-29,PEUGEOT,208,Tech Edition,3593.64,2018,2018,1.2,58958.0,84658,Petrol,5,Manual,6118.2,5160.85,7253.15,43.61,70.25,101.83,6
2025-09-29,PEUGEOT,308,Allure,4468.24,2018,2018,1.2,57837.0,63507,Petrol,5,Manual,6927.83,6012.04,7983.12,34.55,55.05,78.66,18
2025-09-29,TOYOTA,AYGO,,5099.8099999999995,2016,2016,1.0,64930.0,22964,Petrol,5,Manual,5302.54,4377.46,6423.11,-14.16,3.98,25.95,69
2025-09-29,VAUXHALL,ASTRA,SRi,4593.24,2017,2017,1.0,61043.0,69185,Petrol,5,Manual,5594.89,4643.93,6740.6,1.1,21.81,46.75,7
2025-09-29,PEUGEOT,208,Tech Edition,3593.64,2018,2018,1.2,58958.0,84658,Petrol,5,Manual,6118.2,5160.85,7253.15,43.61,70.25,101.83,6
2025-09-30,PEUGEOT,2008,Active,3701.48,2018,2018,1.2,61988.0,70922,Petrol,5,Manual,5950.61,5154.57,6869.6,39.26,60.76,85.59,9
2025-09-30,PEUGEOT,208,,3064.0699999999997,2012,2012,1.4,55623.0,47167,Diesel,5,Manual,3748.89,2813.22,4995.76,-8.19,22.35,63.04,3
2025-09-30,TOYOTA,AYGO,,5099.8099999999995,2016,2016,1.0,64520.0,22964,Petrol,5,Manual,5317.41,4429.57,6383.2,-13.14,4.27,25.17,69
2025-09-30,VOLKSWAGEN,POLO,SE,4031.25,2010,2010,1.4,78409.0,71065,Petrol,3,Manual,3595.46,2633.7,4908.42,-34.67,-10.81,21.76,5
2025-09-30,VAUXHALL,ASTRA,SRi,4593.24,2017,2017,1.0,64731.0,69185,Petrol,5,Manual,5554.01,4615.5,6683.36,0.48,20.92,45.5,7
2025-10-01,SEAT,LEON,,5149.8099999999995,2016,2016,1.6,64430.0,83531,Diesel,5,Auto Clutch,8279.08,7154.07,9580.99,38.92,60.76,86.05,4
2025-10-01,VOLKSWAGEN,GOLF,S,5379.21,2014,2014,1.2,52606.0,89484,Petrol,5,Auto Clutch,7108.84,6518.36,7752.8,21.18,32.15,44.13,8
2025-10-01,SEAT,LEON,,5149.8099999999995,2016,2016,1.6,64430.0,83531,Diesel,5,Auto Clutch,8279.08,7154.07,9580.99,38.92,60.76,86.05,4
2025-10-19,VOLVO,V40,,4722.67,2014,2014,1.6,0,76807,Diesel,5,Auto Clutch,0,0,0,0,0,0,0
2025-11-03,FORD,FIESTA,Titanium,5916.22,2017,2017,1.0,62268.0,48281,Petrol,5,Manual,6308.52,5178.2,7685.58,-12.47,6.63,29.91,66
2025-11-03,NISSAN,MICRA,Acenta,5099.8099999999995,2017,2017,1.0,60564.0,49773,Petrol,5,Manual,6273.94,5395.16,7295.86,5.79,23.02,43.06,17
2025-11-03,VAUXHALL,CORSA,SRi,4797.67,2019,2019,1.4,62809.0,75442,Petrol,5,Manual,6061.91,4988.74,7365.94,3.98,26.35,53.53,59
2025-11-03,FORD,C-MAX,Titanium,5533.36,2018,2018,1.0,57884.0,28695,Petrol,5,Manual,6713.33,5367.11,8397.22,-3.0,21.32,51.76,15
2025-11-03,FORD,FIESTA,ST-Line,5429.21,2018,2018,1.0,59892.0,67575,Petrol,3,Manual,7291.69,6179.24,8604.41,13.81,34.3,58.48,64
2025-11-03,VAUXHALL,CORSA,SRi,4493.24,2017,2017,1.4,63445.0,37841,Petrol,3,Manual,5005.61,4320.56,5799.28,-3.84,11.4,29.07,13
2025-11-07,VAUXHALL,ADAM,,4215.2,2016,2016,1.2,56138.0,39790,Petrol,3,Manual,5477.14,4614.28,6501.35,9.47,29.94,54.24,68
2026-03-03,TOYOTA,AYGO,,3064.0699999999997,2014,2014,1.0,66780.0,48740,Petrol,5,Manual,4148.45,3340.84,5151.3,9.03,35.39,68.12,68
2026-03-03,TOYOTA,AYGO,,3064.0699999999997,2014,2014,1.0,86000.0,48740,Petrol,5,Manual,2335.19,2190.0,2490.0,-28.53,-23.79,-18.74,2
2026-03-14,FORD,FIESTA,Titanium,4618.24,2014,2014,1.0,70726.0,39908,Petrol,5,Manual,4034.32,3158.97,5152.23,-31.6,-12.64,11.56,36
2026-03-14,FORD,FIESTA,ST-Line,5458.36,2019,2019,1.0,55049.0,84844,Petrol,5,Manual,8648.1,7687.12,9729.22,40.83,58.44,78.24,69
